X,Y
0,0
30.000000000000007,51.15152422706631
60.000000000000014,100.68304845413263
90.00000000000003,148.59457268119894
120.00000000000003,194.88609690826524
150.00000000000003,239.55762113533154
180.00000000000006,282.60914536239784
210.00000000000006,324.0406695894642
240.00000000000006,363.85219381653053
270.00000000000006,402.0437180435968
300.00000000000006,438.6152422706631
330.00000000000006,473.5667664977294
360.0000000000001,506.89829072479574
390.0000000000001,538.6098149518621
420.0000000000001,568.7013391789284
450.0000000000001,597.1728634059947
480.0000000000001,624.024387633061
510.0000000000001,649.2559118601273
540.0000000000001,672.8674360871936
570.0000000000001,694.85896031426
600.0000000000001,715.2304845413262
630.0000000000001,733.9820087683925
660.0000000000001,751.1135329954589
690.0000000000001,766.6250572225251
720.0000000000002,780.5165814495914
750.0000000000002,792.7881056766578
780.0000000000002,803.439629903724
810.0000000000002,812.4711541307904
840.0000000000002,819.8826783578568
870.0000000000002,825.674202584923
900.0000000000002,829.8457268119894
930.0000000000002,832.3972510390556
960.0000000000002,833.328775266122
990.0000000000002,832.6402994931883
1020.0000000000002,830.3318237202545
1050.0000000000002,826.403347947321
1080.0000000000002,820.8548721743871
1110.0000000000002,813.6863964014535
1140.0000000000002,804.8979206285198
1170.0000000000002,794.489444855586
1200.0000000000002,782.4609690826521
1230.0000000000002,768.8124933097188
1260.0000000000002,753.5440175367848
1290.0000000000002,736.6555417638513
1320.0000000000002,718.1470659909176
1350.0000000000002,698.018590217984
1380.0000000000002,676.27011444505
1410.0000000000002,652.9016386721169
1440.0000000000005,627.9131628991827
1470.0000000000005,601.3046871262493
1500.0000000000005,573.0762113533156
1530.0000000000005,543.2277355803822
1560.0000000000005,511.75925980744796
1590.0000000000005,478.6707840345148
1620.0000000000005,443.9623082615808
1650.0000000000005,407.63383248864693
1680.0000000000005,369.6853567157136
1710.0000000000005,330.11688094277997
1740.0000000000005,288.928405169846
1770.0000000000005,246.11992939691208
